ID1	ID2	TITLE1	TITLE2	UNCERTAINTY
11516101	1100178494	Smartphone Motorola Moto Z2 Play Sound Edition Ouro 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Smartphone  Moto Z2 Play 64gb Xt1710 5.5 Full Hd 4gb Ram	1
11516103	11811144	Smartphone Motorola Moto Z2 Play Projector Edition Platinum 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Smartphone Motorola Moto Z2 Play GamePad Edition Platinum 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	0
11516103	989085729	Smartphone Motorola Moto Z2 Play Projector Edition Platinum 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Smartphone Motorola Moto Z2 Play Polaroid Edition Dualchip	3
11516103	1025208041	Smartphone Motorola Moto Z2 Play Projector Edition Platinum 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Motorola Xt1710 Moto Z2 Play Dual Chip 64gb Original | Novo	2
11516103	1029075911	Smartphone Motorola Moto Z2 Play Projector Edition Platinum 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Celular Smartphone Motorola Moto Z2 Play 64gb Gold Xt1710-08	2
11516103	1043437119	Smartphone Motorola Moto Z2 Play Projector Edition Platinum 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Celular New 100% Original Motorola Moto Z2 Play 64gb Xt1710	2
11516103	1080679988	Smartphone Motorola Moto Z2 Play Projector Edition Platinum 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Smartphone Motorola Moto Z2 Play Xt1710 4gb/64gb 5.5'' Dual	1
11516103	1100174661	Smartphone Motorola Moto Z2 Play Projector Edition Platinum 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Moto Z2 Play 64gb Xt1710 5.5 Full Hd 4gb Ram	1
11516103	1100178494	Smartphone Motorola Moto Z2 Play Projector Edition Platinum 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Smartphone  Moto Z2 Play 64gb Xt1710 5.5 Full Hd 4gb Ram	1
11811144	989085729	Smartphone Motorola Moto Z2 Play GamePad Edition Platinum 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Smartphone Motorola Moto Z2 Play Polaroid Edition Dualchip	3
11811144	1025208041	Smartphone Motorola Moto Z2 Play GamePad Edition Platinum 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Motorola Xt1710 Moto Z2 Play Dual Chip 64gb Original | Novo	2
11811144	1029075911	Smartphone Motorola Moto Z2 Play GamePad Edition Platinum 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Celular Smartphone Motorola Moto Z2 Play 64gb Gold Xt1710-08	2
11811144	1043437119	Smartphone Motorola Moto Z2 Play GamePad Edition Platinum 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Celular New 100% Original Motorola Moto Z2 Play 64gb Xt1710	2
11811144	1080679988	Smartphone Motorola Moto Z2 Play GamePad Edition Platinum 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Smartphone Motorola Moto Z2 Play Xt1710 4gb/64gb 5.5'' Dual	1
11811144	1100174661	Smartphone Motorola Moto Z2 Play GamePad Edition Platinum 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Moto Z2 Play 64gb Xt1710 5.5 Full Hd 4gb Ram	1
11811144	1100178494	Smartphone Motorola Moto Z2 Play GamePad Edition Platinum 64GB, Tela 5.5'', Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM	Smartphone  Moto Z2 Play 64gb Xt1710 5.5 Full Hd 4gb Ram	1
27797661	28304576	Motorola Moto C Plus XT1726	Smartphone Motorola Moto C Plus XT1723 Dual Sim LTE 5.0´´ 16GB Câm.8MP+2MP-Preto	3
27797661	853248747	Motorola Moto C Plus XT1726	Smartphone Motorola Moto C Plus 16gb Mem 4g Dual 2gb Ram	3
27797661	853254183	Motorola Moto C Plus XT1726	Smartphone Motorola Moto C Plus 16gb Mem 4g Dual 2gb Ram	3
27797661	896633212	Motorola Moto C Plus XT1726	Celular Motorola Moto C Plus Xt1724 Dual Sim 16gb Tela 5	3
27797661	929531936	Motorola Moto C Plus XT1726	Celular Motorola Moto C Plus Xt1724 Dual  16gb Tela 5 + Fone	3
27797661	1008654818	Motorola Moto C Plus XT1726	Smartphone Motorola Moto C Plus Android 7.0 16gb Dual Chip	3
27797661	1051654890	Motorola Moto C Plus XT1726	Smartphone Motorola Moto C Plus Xt1723 Dualchip16gb Original	3
27797661	1072478480	Motorola Moto C Plus XT1726	Motorola Moto C Plus Xt1723 Dual Chip 16gb 2g De Ram C Nf	3
27797661	1097262306	Motorola Moto C Plus XT1726	Motorola Moto C Plus Xt1723 Dual Sim 16gb 4g Vermelho Oferta	3
28304576	853248747	Smartphone Motorola Moto C Plus XT1723 Dual Sim LTE 5.0´´ 16GB Câm.8MP+2MP-Preto	Smartphone Motorola Moto C Plus 16gb Mem 4g Dual 2gb Ram	2
28304576	853254183	Smartphone Motorola Moto C Plus XT1723 Dual Sim LTE 5.0´´ 16GB Câm.8MP+2MP-Preto	Smartphone Motorola Moto C Plus 16gb Mem 4g Dual 2gb Ram	2
28304576	896633212	Smartphone Motorola Moto C Plus XT1723 Dual Sim LTE 5.0´´ 16GB Câm.8MP+2MP-Preto	Celular Motorola Moto C Plus Xt1724 Dual Sim 16gb Tela 5	2
28304576	929531936	Smartphone Motorola Moto C Plus XT1723 Dual Sim LTE 5.0´´ 16GB Câm.8MP+2MP-Preto	Celular Motorola Moto C Plus Xt1724 Dual  16gb Tela 5 + Fone	2
28304576	1008654818	Smartphone Motorola Moto C Plus XT1723 Dual Sim LTE 5.0´´ 16GB Câm.8MP+2MP-Preto	Smartphone Motorola Moto C Plus Android 7.0 16gb Dual Chip	2
28304576	1051654890	Smartphone Motorola Moto C Plus XT1723 Dual Sim LTE 5.0´´ 16GB Câm.8MP+2MP-Preto	Smartphone Motorola Moto C Plus Xt1723 Dualchip16gb Original	2
28304576	1072478480	Smartphone Motorola Moto C Plus XT1723 Dual Sim LTE 5.0´´ 16GB Câm.8MP+2MP-Preto	Motorola Moto C Plus Xt1723 Dual Chip 16gb 2g De Ram C Nf	2
28304576	1097262306	Smartphone Motorola Moto C Plus XT1723 Dual Sim LTE 5.0´´ 16GB Câm.8MP+2MP-Preto	Motorola Moto C Plus Xt1723 Dual Sim 16gb 4g Vermelho Oferta	2
705112358	1082527013	Apple Iphone 6 16gb Space Gray Original Nacional Vitrine	Iphone 6 16gb Novo Lacrado Original Apple 6 Mês Garantia	2
717103137	849470172	Celular Motorola Moto G6 Play Xt1922 4g 32gb Dual Android 8	Celular Motorola Moto G6 Play Xt1922 4g 32gb Dual Android 8	2
717103137	1017636908	Celular Motorola Moto G6 Play Xt1922 4g 32gb Dual Android 8	Celular Motorola Moto G6 Play Índigo Android 8.0 32gb 4g	2
717103137	1018571570	Celular Motorola Moto G6 Play Xt1922 4g 32gb Dual Android 8	Smartphone Motorola Moto G6 Play 32gb Índigo Xt1922/i	2
717103137	1025804613	Celular Motorola Moto G6 Play Xt1922 4g 32gb Dual Android 8	Celular Motorola Moto G6 Play Índigo 32 Gb Xt1922	2
717103137	1026504117	Celular Motorola Moto G6 Play Xt1922 4g 32gb Dual Android 8	Celular Motorola Moto G6 Play Índigo 32 Gb Xt1922	2
717103137	1028671459	Celular Motorola Moto G6 Play Xt1922 4g 32gb Dual Android 8	Celular Motorola Moto G6 Play Índigo Android 8.0 32gb 4g	2
717103137	1029180893	Celular Motorola Moto G6 Play Xt1922 4g 32gb Dual Android 8	Motorola Moto G6 Play 32gb Índigo Xt1922 Leia Anuncio	2
717103137	1029834904	Celular Motorola Moto G6 Play Xt1922 4g 32gb Dual Android 8	Motorola Xt1925-3 Moto G6 32gb Nf Garantia Leia Anuncio	2
717103137	1032064086	Celular Motorola Moto G6 Play Xt1922 4g 32gb Dual Android 8	Celular Moto G6 Play Dual Chip 5.7  32gb 4g 13mp	2
717103137	1046787831	Celular Motorola Moto G6 Play Xt1922 4g 32gb Dual Android 8	Motorola Moto G6 Play Xt1922 Nf Lacrado	3
717103137	1050184472	Celular Motorola Moto G6 Play Xt1922 4g 32gb Dual Android 8	Smartphone Motorola Moto G6 Play Dourado 32 Gb Xt1922/o	2
717103137	1054424394	Celular Motorola Moto G6 Play Xt1922 4g 32gb Dual Android 8	Celular Motorola Moto G6 Play 32gb 4g Android 8.0 Índigo	2
717103137	1056180430	Celular Motorola Moto G6 Play Xt1922 4g 32gb Dual Android 8	Smartphone Motorola Moto G6 Play Dourado 32 Gb Xt1922	2
717103137	1056643341	Celular Motorola Moto G6 Play Xt1922 4g 32gb Dual Android 8	Motorola Moto G6 Play Xt1922 Novo Lacrado Anatel Nf Dourado	3
717103137	1060033912	Celular Motorola Moto G6 Play Xt1922 4g 32gb Dual Android 8	Celular Motorola Moto G6 Play 32gb 4g Android 8.0 Dourado	2
735473636	1020035570	Celular Motorola Moto G6 Plus Dual 64gb 4gbram Tv Xt1926-8	Smartphone Motorola Moto G6 Plus 64gb 4gb Octacore - Índigo	2
735473636	1025788464	Celular Motorola Moto G6 Plus Dual 64gb 4gbram Tv Xt1926-8	Celular Motorola Moto G6 Plus 64gb 4gb Octacore 2.2ghz	2
735473636	1047891834	Celular Motorola Moto G6 Plus Dual 64gb 4gbram Tv Xt1926-8	Smartphone Motorola Moto G6 Plus 64gb 4gb Octacore - Índigo	2
778531875	824511715	Novo Motorola Moto G5s Plus Xt1802 32gb 13mp 4g Rose +nf	Imbativel Corra ! Motorola Moto G5 Xt1676 4g Orig+brinde+nf	3
778531875	885751260	Novo Motorola Moto G5s Plus Xt1802 32gb 13mp 4g Rose +nf	Novo Moto G5 Xt1676 16g Orig+brinde+nota Fiscal+frete Gratis	3
778531875	919481440	Novo Motorola Moto G5s Plus Xt1802 32gb 13mp 4g Rose +nf	Celular Moto G5 Xt1671 Novo 32gb  Orig+brinde+nota Fiscal	2
778531875	1018669203	Novo Motorola Moto G5s Plus Xt1802 32gb 13mp 4g Rose +nf	Motorola Moto G5s Plus Dual 32gb 5.5 13+13mp/8mp - Novo	2
778531875	1035030223	Novo Motorola Moto G5s Plus Xt1802 32gb 13mp 4g Rose +nf	Motorola Moto G5s Plus 32gb G 5s Xt1805 2chip 4k 13mp	2
778531875	1035034762	Novo Motorola Moto G5s Plus Xt1802 32gb 13mp 4g Rose +nf	Motorola Moto G5s Plus 32gb G 5s Xt1805 2chip 4k 13mp	2
778531875	1036990828	Novo Motorola Moto G5s Plus Xt1802 32gb 13mp 4g Rose +nf	Motorola Moto G5s Plus Dual Sim 32gb Special Edition Lacrado	2
778531875	1053036989	Novo Motorola Moto G5s Plus Xt1802 32gb 13mp 4g Rose +nf	Motorola Moto G5 Plus Xt1683 Promoção Vitrine Anatel 32gb	2
778531875	1062864884	Novo Motorola Moto G5s Plus Xt1802 32gb 13mp 4g Rose +nf	Celular Motorola Moto G5s Plus Xt1805 32gb Brinde Notafiscal	2
778531875	1073137174	Novo Motorola Moto G5s Plus Xt1802 32gb 13mp 4g Rose +nf	Celular Moto G5s Plus 32gb 3gb Ram Platin+brinde+nota Fiscal	2
778531875	1077518301	Novo Motorola Moto G5s Plus Xt1802 32gb 13mp 4g Rose +nf	Smartphone Motorola Moto G5s Plus 32gb Mem 3gb Ram Dual	2
780539443	933654808	Celular Xiaomi Redmi Mi A1 4g Dual 64gb 4gb Ram 5.5' Lacrado	Celular Xiaomi Mi A1 Tela 5.5 4gb Ram 64gb 2 Chips Android	1
780539443	964921219	Celular Xiaomi Redmi Mi A1 4g Dual 64gb 4gb Ram 5.5' Lacrado	Xiaomi Mi A1 5x Dual Chip 64gb 4gb Ram 4g - Dourado Ou Preto	1
780539443	1069048303	Celular Xiaomi Redmi Mi A1 4g Dual 64gb 4gb Ram 5.5' Lacrado	Xiaomu Mi A1 Xiaomin Redimir A1 64g Celular Xiaomi A1 Brinde	3
780539443	1088837899	Celular Xiaomi Redmi Mi A1 4g Dual 64gb 4gb Ram 5.5' Lacrado	Celular Xiaomi Mi A1 4gb Ram 64gb 2 Chip Preto	1
812468070	1085532013	Celular Iphone 5s 32gb Desbloqueado 100% Funcionando 3g 4g B	Iphone 5s 32gb Novo Lacrado Garantia Vendedor 6 Meses	2
824511715	885751260	Imbativel Corra ! Motorola Moto G5 Xt1676 4g Orig+brinde+nf	Novo Moto G5 Xt1676 16g Orig+brinde+nota Fiscal+frete Gratis	3
824511715	919481440	Imbativel Corra ! Motorola Moto G5 Xt1676 4g Orig+brinde+nf	Celular Moto G5 Xt1671 Novo 32gb  Orig+brinde+nota Fiscal	3
824511715	1018669203	Imbativel Corra ! Motorola Moto G5 Xt1676 4g Orig+brinde+nf	Motorola Moto G5s Plus Dual 32gb 5.5 13+13mp/8mp - Novo	3
824511715	1035030223	Imbativel Corra ! Motorola Moto G5 Xt1676 4g Orig+brinde+nf	Motorola Moto G5s Plus 32gb G 5s Xt1805 2chip 4k 13mp	3
824511715	1035034762	Imbativel Corra ! Motorola Moto G5 Xt1676 4g Orig+brinde+nf	Motorola Moto G5s Plus 32gb G 5s Xt1805 2chip 4k 13mp	3
824511715	1036990828	Imbativel Corra ! Motorola Moto G5 Xt1676 4g Orig+brinde+nf	Motorola Moto G5s Plus Dual Sim 32gb Special Edition Lacrado	3
824511715	1053036989	Imbativel Corra ! Motorola Moto G5 Xt1676 4g Orig+brinde+nf	Motorola Moto G5 Plus Xt1683 Promoção Vitrine Anatel 32gb	3
824511715	1062864884	Imbativel Corra ! Motorola Moto G5 Xt1676 4g Orig+brinde+nf	Celular Motorola Moto G5s Plus Xt1805 32gb Brinde Notafiscal	3
824511715	1073137174	Imbativel Corra ! Motorola Moto G5 Xt1676 4g Orig+brinde+nf	Celular Moto G5s Plus 32gb 3gb Ram Platin+brinde+nota Fiscal	3
824511715	1077518301	Imbativel Corra ! Motorola Moto G5 Xt1676 4g Orig+brinde+nf	Smartphone Motorola Moto G5s Plus 32gb Mem 3gb Ram Dual	3
849470172	1017636908	Celular Motorola Moto G6 Play Xt1922 4g 32gb Dual Android 8	Celular Motorola Moto G6 Play Índigo Android 8.0 32gb 4g	2
849470172	1018571570	Celular Motorola Moto G6 Play Xt1922 4g 32gb Dual Android 8	Smartphone Motorola Moto G6 Play 32gb Índigo Xt1922/i	2
849470172	1025804613	Celular Motorola Moto G6 Play Xt1922 4g 32gb Dual Android 8	Celular Motorola Moto G6 Play Índigo 32 Gb Xt1922	2
849470172	1026504117	Celular Motorola Moto G6 Play Xt1922 4g 32gb Dual Android 8	Celular Motorola Moto G6 Play Índigo 32 Gb Xt1922	2
